items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
Skid steers,Tools and technology,Tools and technology,Tools and technology,,Skid steers,0,Tools and technology
Skylines,Tools and technology,Tools and technology,Tools and technology,,Skylines,0,Tech - Software
Sledgehammers,Tools and technology,Tools and technology,Tools and technology,,Sledgehammers,0,Tools and technology
Slot machines,Tools and technology,Tools and technology,Tools and technology,,Slot machines,0,Tools and technology
Smalltalk,Knowledge,Knowledge,Tools and technology,,Smalltalk,0,Tech - Software
SmartDraw,Tools and technology,Tools and technology,Tools and technology,,SmartDraw,0,Tech - Software
Smoke detectors,Tools and technology,Tools and technology,Tools and technology,,Smoke detectors,0,Tools and technology
Smokehouses,Tools and technology,Tools and technology,Tools and technology,,Smokehouses,0,Tools and technology
Snagit,Tools and technology,Tools and technology,Tools and technology,,Snagit,0,Tech - Software
Snort,Tools and technology,Tools and technology,Tools and technology,,Snort,0,Tech - Software
Snow plows,Tools and technology,Tools and technology,Tools and technology,,Snowplows,0,Tools and technology
Snow removal equipment,Tools and technology,Tools and technology,Tools and technology,,Snow removal equipment,0,Tools and technology
Snowplow attachments,Tools and technology,Tools and technology,Tools and technology,,Snowplows,0,Tools and technology
Snowplows,Tools and technology,Tools and technology,Tools and technology,,Snowplows,0,Tools and technology
Snowshoes,Tools and technology,Tools and technology,Tools and technology,,Snowshoes,0,Tools and technology
SOAP,Knowledge,Knowledge,Knowledge,,Simple Object Access Protocal SOAP,0,Knowledge
SOAP UI,Tools and technology,Tools and technology,Tools and technology,,Simple Object Access Protocal SOAP User Interface UI,0,Tech - Software
Social Media Marketing,Other,Work activities,Knowledge,,Social Media Marketing,0,Knowledge
Social media sites,Other,?,Tools and technology,,Social media platforms and networking sites,0,Tech - Software
Social media software,Tools and technology,Tools and technology,Tools and technology,,Social media software,0,Tech - Software
Social networking platforms,Other,?,Tools and technology,,Social media platforms and networking sites,0,Tech - Software
Socket wrenches,Tools and technology,Tools and technology,Tools and technology,,Socket wrenches,0,Tools and technology
Software AG,Tools and technology,Tools and technology,Tools and technology,,Software AG,0,Tech - Software
Software asset management SAM software,Tools and technology,Tools and technology,Tools and technology,,Software asset management SAM software,0,Tech - Software
Software Development Life Cycle (SDLC),Knowledge,Knowledge,Knowledge,,Software Development Life Cycle (SDLC),0,Knowledge
Software development tools,Tools and technology,Tools and technology,Tools and technology,,Software development tools,0,Tech - Software
Software Documentation,Knowledge,Knowledge,Knowledge,,Software Documentation,0,Knowledge
Software libraries,Tools and technology,Tools and technology,Tools and technology,,Software libraries,0,Tech - Software
Soil samplers,Tools and technology,Tools and technology,Tools and technology,,Soil samplers,0,Tools and technology
Soil sampling probes,Tools and technology,Tools and technology,Tools and technology,,Soil samplers,0,Tools and technology
SolarWinds,Other,Work context,Tools and technology,IT management software,SolarWinds,0,Tech - Software
Soldering equipment,Tools and technology,Tools and technology,Tools and technology,,Soldering equipment and machines,0,Tools and technology
Soldering machines,Tools and technology,Tools and technology,Tools and technology,,Soldering equipment and machines,0,Tools and technology
Solid ink printers,Tools and technology,Tools and technology,Tools and technology,,Solid ink printers,0,Tools and technology
Solidworks,Tools and technology,Tools and technology,Tools and technology,,Solidworks,0,Tech - Software
Sorting machines,Tools and technology,Tools and technology,Tools and technology,,Sorting machines,0,Tools and technology
Sound systems,Tools and technology,Tools and technology,Tools and technology,,Sound systems,0,Tools and technology
Source code management SCM software,Tools and technology,Tools and technology,Tools and technology,,Source code management SCM software,0,Tech - Software
SOX COBIT,Tools and technology,Tools and technology,Knowledge,,Control Objective for Information and Related Technology COBIT,0,Knowledge
Spanish language,Knowledge,Knowledge,Knowledge,,Spanish language,0,Knowledge
SPAW,Tools and technology,Tools and technology,Tools and technology,,SPAW,0,Tech - Software
Specification software,Tools and technology,Tools and technology,Tools and technology,,Specification software,0,Tech - Software
Spectrometers,Tools and technology,Tools and technology,Tools and technology,,Spectrometers,0,Tools and technology
Spectrum analyzers,Tools and technology,Tools and technology,Tools and technology,,Spectrum analyzers,0,Tools and technology
Speech recognition software,Tools and technology,Tools and technology,Tools and technology,,Voice recognition software,0,Tech - Software
Spindles,Tools and technology,Tools and technology,Tools and technology,,Spindles,0,Tools and technology
Spinners,Tools and technology,Tools and technology,Tools and technology,,Spinners,0,Tools and technology
Splints,Tools and technology,Tools and technology,Tools and technology,,Splints,0,Tools and technology
Splunk Enterprise,Other,Work context,Tools and technology,IT management tool,Splunk Enterprise,0,Tech - Software
Sponges,Tools and technology,Tools and technology,Tools and technology,,Sponges,0,Tools and technology
Spray booths,Tools and technology,Tools and technology,Tools and technology,,Spray booths,0,Tools and technology
Spray bottles,Tools and technology,Tools and technology,Tools and technology,,Spray bottles,0,Tools and technology
Spray guns,Tools and technology,Tools and technology,Tools and technology,,Spray guns,0,Tools and technology
Sprayers,Tools and technology,Tools and technology,Tools and technology,,Sprayers,0,Tools and technology
Spreaders,Tools and technology,Tools and technology,Tools and technology,,Spreaders,0,Tools and technology
Spreadsheet applications,Tools and technology,Tools and technology,Tools and technology,,Spreadsheet applications,0,Tech - Software
Spreadsheet programs,Tools and technology,Tools and technology,Tools and technology,,Spreadsheet applications,0,Tech - Software
Spreadsheet software,Tools and technology,Tools and technology,Tools and technology,,Spreadsheet applications,0,Tech - Software
Spring Framework,Tools and technology,Tools and technology,Tools and technology,,Spring Framework,0,Tech - Software
SPSS,Tools and technology,Tools and technology,Tools and technology,,SPSS,0,Tech - Software
SQL (Structured query language),Knowledge,Knowledge,Tools and technology,SQL double entry,SQL (Structured query language),0,Tech - Software
SQLite,Tools and technology,Tools and technology,Tools and technology,,SQLite,0,Tech - Software
SSL,Tools and technology,Tools and technology,Tools and technology,,SSL Secure Sockets Layer,0,Tech - Software
Staff Development,Other,Work activities,Skills,,Staff Development,0,Skills
Staff scheduling software,Tools and technology,Tools and technology,Tools and technology,,Staff scheduling software,0,Tech - Software
Staging equipment,Tools and technology,Tools and technology,Tools and technology,,Staging equipment,0,Tools and technology
Stamping dies,Tools and technology,Tools and technology,Tools and technology,,Stamping dies,0,Tools and technology
Stamping equipment,Tools and technology,Tools and technology,Tools and technology,,Stamping equipment,0,Tools and technology
Stamping presses,Tools and technology,Tools and technology,Tools and technology,,Stamping presses,0,Tools and technology
Stand mixers,Tools and Equipment,,Tools and technology,,Stand mixers,1,Tools and technology
STARLIMS,Technologies,,Tools and technology,,STARLIMS,1,Tech - Software
Static analysis software,Tools and technology,Tools and technology,Tools and technology,,Static analysis software,0,Tech - Software
Statistical analysis software,Tools and technology,Tools and technology,Tools and technology,,Statistical analysis software,0,Tech - Software
Statistical process control SPC software,Tools and technology,Tools and technology,Tools and technology,,Statistical process control SPC software,0,Tech - Software
Statistical software,Tools and technology,Tools and technology,Tools and technology,,Statistical analysis software,0,Tech - Software
Statistics software,Tools and technology,Tools and technology,Tools and technology,,Statistical analysis software,0,Tech - Software
Steam cleaners,Tools and technology,Tools and technology,Tools and technology,,Steam cleaning equipment,0,Tools and technology
Steam cleaning equipment,Tools and technology,Tools and technology,Tools and technology,,Steam cleaning equipment,0,Tools and technology
Steam cookers,Tools and Equipment,,Tools and technology,,Steam cookers,1,Tools and technology
Steam distribution systems,Tools and technology,Tools and technology,Tools and technology,,Steam distribution systems,0,Tools and technology
Steam sterilizers,Tools and technology,Tools and technology,Tools and technology,,Steam sterilizers,0,Tools and technology
Steam tables,Tools and technology,Tools and technology,Tools and technology,,Steam tables,0,Tools and technology
Steel cutters,Tools and technology,Tools and technology,Tools and technology,,Steel cutters,0,Tools and technology
Steel forms,Tools and Equipment,,Tools and technology,,Steel forms,1,Tools and technology
Stencils,Tools and technology,Tools and technology,Tools and technology,,Stencils,0,Tools and technology
Step ladders,Tools and technology,Tools and technology,Tools and technology,,Step ladders,0,Tools and technology
Step stools,Tools and technology,Tools and technology,Tools and technology,,Step stools,0,Tools and technology
Stepladders,Tools and technology,Tools and technology,Tools and technology,,Step ladders,0,Tools and technology
Sterilizers,Tools and technology,Tools and technology,Tools and technology,,Sterilizers,0,Tools and technology
Sterilizing equipment,Tools and technology,Tools and technology,Tools and technology,,Sterilizing equipment,0,Tools and technology
Still cameras,Tools and technology,Tools and technology,Tools and technology,,Still cameras,0,Tools and technology
Stilts,Tools and technology,Tools and technology,Tools and technology,,Stilts,0,Tools and technology
Stone saws,Tools and technology,Tools and technology,Tools and technology,,Stone saws,0,Tools and technology
Storage area network SAN software,Tools and technology,Tools and technology,Tools and technology,,Storage area network SAN software,0,Tech - Software
Storage servers,Tools and technology,Tools and technology,Tools and technology,,Storage servers,0,Tech - Software
Straight edges,Tools and Equipment,,Tools and technology,,Straight edges,1,Tools and technology
Strain gauges,Tools and technology,Tools and technology,Tools and technology,,Strain gauges,0,Tools and technology
Strategic Thinking,Skills,Skills,Skills,,Strategic Thinking,0,Skills
Stress analysis software,Tools and technology,Tools and technology,Tools and technology,,Stress analysis software,0,Tech - Software
String lines,Tools and technology,Tools and technology,Tools and technology,,String lines,0,Tools and technology
String trimmers,Tools and technology,Tools and technology,Tools and technology,,String trimmers,0,Tools and technology
Striping machines,Tools and Equipment,,Tools and technology,,Striping machines,1,Tools and technology
Strobe lights,Tools and technology,Tools and technology,Tools and technology,,Strobe lights,0,Tools and technology
Structure Assembly,Knowledge,Knowledge,Knowledge,,Structure Assembly,0,Knowledge
Structure query language SQL,Knowledge,Knowledge,Tools and technology,SQL double entry,SQL (Structured query language),0,Tech - Software
Student information systems SIS,Tools and technology,Tools and technology,Tools and technology,,Student information systems SIS,0,Tech - Software
Studio lighting,Tools and technology,Tools and technology,Tools and technology,,Studio lighting,0,Tools and technology
Stump grinders,Tools and technology,Tools and technology,Tools and technology,,Stump grinders,0,Tools and technology
Subversion,Tools and technology,Tools and technology,Tools and technology,,Subversion,0,Tech - Software
Suction cups,Tools and technology,Tools and technology,Tools and technology,,Suction cups,0,Tools and technology
Suction machines,Tools and technology,Tools and technology,Tools and technology,,Suction machines,0,Tools and technology
Sugar CRM,Other,Work context,Tools and technology,Customer relationship management system,Sugar CRM,0,Tech - Software
Supervisory control and data acquisition (SCADA) systems,Tools and technology,Tools and technology,Tools and technology,,Supervisory control and data acquisition (SCADA) systems,0,Tech - Software
Supervisory Skills,Skills,Skills,Skills,,Supervisory Skills,0,Skills
Supply Chain Management,Other,Work activities,Knowledge,,Supply Chain Management,0,Knowledge
Surface plates,Tools and technology,Tools and technology,Tools and technology,,Surface plates,0,Tools and technology
Surface water modeling system SMS software,Tools and technology,Tools and technology,Tools and technology,,Surface water modeling system SMS software,0,Tech - Software
Survey levels,Tools and technology,Tools and technology,Tools and technology,,Survey levels,0,Tools and technology
Survey software,Tools and technology,Tools and technology,Tools and technology,,Survey software,0,Tech - Software
Sweepers,Tools and technology,Tools and technology,Tools and technology,,Sweepers,0,Tools and technology
Swing stages,Tools and technology,Tools and technology,Tools and technology,,Swing stages,0,Tools and technology
Switchboards,Tools and technology,Tools and technology,Tools and technology,,Switchboards,0,Tools and technology
Sybase,Other,Work context,Tools and technology,SAP related software,SAP Sybase,0,Tech - Software
Sybase SQL Server,Tools and technology,Tools and technology,Tools and technology,,SAP Sybase,0,Tech - Software
Symantec,Other,Work context,Tools and technology,Cyber security products,Symantec,0,Tech - Software
Synchronous optical networking (SONET),Knowledge,Knowledge,Knowledge,,Synchronous optical networking (SONET),0,Knowledge
Synthesizers,Tools and technology,Tools and technology,Tools and technology,,Synthesizers,0,Tools and technology
Synthetic aperture radar SAR,Tools and technology,Tools and technology,Tools and technology,,Synthetic aperture radar SAR,0,Tools and technology
Syringe pumps,Tools and technology,Tools and technology,Tools and technology,,Syringe pumps,0,Tools and technology
SYSPRO,Other,Work context,Tools and technology,Enterprise resource planning software,SYSPRO,0,Tech - Software
System Monitoring,Other,Work activities,Skills,,System Monitoring,0,Skills
System testing software,Tools and technology,Tools and technology,Tools and technology,,System testing software,0,Tech - Software
Systems Integration,Knowledge,Knowledge,Knowledge,,Systems Integration,0,Knowledge
Systems integration software,Tools and technology,Tools and technology,Tools and technology,,Systems integration software,0,Tech - Software
SystemVerilog,Knowledge,Knowledge,Knowledge,,SystemVerilog,0,Knowledge
Systemware,Other,Work context,Tools and technology,Content Cloud for enterprises,Systemware,0,Tech - Software
Table game drop boxes,Tools and Equipment,,Tools and technology,,Table game drop boxes,1,Tools and technology
Table saws,Tools and technology,Tools and technology,Tools and technology,,Table saws,0,Tools and technology
Tableau,Other,Work context,Tools and technology,,Tableau,0,Tech - Software
Tablet computers,Tools and Equipment,,Tools and technology,,Tablet computers,1,Tools and technology
TACL (Tandem advanced command language),Technologies,,Tools and technology,,TACL (Tandem advanced command language),1,Tech - Software
Tamping machines,Tools and technology,Tools and technology,Tools and technology,,Tamping machines,0,Tools and technology
Tandem axle dump trucks,Tools and technology,Tools and technology,Tools and technology,,Tandem axle dump trucks,0,Tools and technology
Tank trailers,Tools and technology,Tools and technology,Tools and technology,,Tank trailers,0,Tools and technology
Tape libraries,Tools and technology,Tools and technology,Tools and technology,,Tape libraries,0,Tools and technology
Tape machines,Tools and technology,Tools and technology,Tools and technology,,Tape machines,0,Tools and technology
Taping machines,Tools and technology,Tools and technology,Tools and technology,This could be a tape machine or a tapping machine -- which are very different tools,Taping machines,0,Tools and technology
Tapping machines,Tools and technology,Tools and technology,Tools and technology,,Tapping machines,0,Tools and technology
TapRooT,Tools and technology,Tools and technology,Tools and technology,,TapRooT,0,Tech - Software
Taps,Tools and technology,Tools and technology,Tools and technology,,Taps,0,Tools and technology
Tax software,Tools and technology,Tools and technology,Tools and technology,,Tax software,0,Tech - Software
TCL (Tool command language),Knowledge,Knowledge,Tools and technology,,TCL (Tool command language),0,Tech - Software
Tcpdump,Tools and technology,Tools and technology,Tools and technology,,TCPDUMP,0,Tech - Software
Teaching and Training,Other,Work activities,Skills,,Teaching and Training,0,Skills
Team Building,Skills,Skills,Skills,,Team Building,0,Skills
Team Leadership,Skills,Skills,Skills,,Team Leadership,0,Skills
Teamwork,Other,Personal abilities and attributes,Skills,,Teamwork,0,Skills
Tebis,Tools and technology,Tools and technology,Tools and technology,,Tebis,0,Tech - Software
Technical Support,Other,?,Other,,Technical Support,0,Skills
Telemedicine equipment,Tools and technology,Tools and technology,Tools and technology,,Telemedicine equipment,0,Tools and technology
Telemetry equipment,Tools and technology,Tools and technology,Tools and technology,,Telemetry equipment,0,Tools and technology
Telescopes,Tools and technology,Tools and technology,Tools and technology,,Telescopes,0,Tools and technology
Television cameras,Tools and technology,Tools and technology,Tools and technology,,Television cameras,0,Tools and technology
Temperature gauges,Tools and technology,Tools and technology,Tools and technology,,Temperature gauges,0,Tools and technology
Temperature sensors,Tools and technology,Tools and technology,Tools and technology,,Temperature sensors,0,Tools and technology
Tenoners,Tools and technology,Tools and technology,Tools and technology,,Tenoners,0,Tools and technology
Tensiometers,Tools and technology,Tools and technology,Tools and technology,,Tensiometers,0,Tools and technology
Test automation software,Tools and technology,Tools and technology,Tools and technology,,Test automation software,0,Tech - Software
Test design software,Technologies,,Tools and technology,,Test design software,1,Tech - Software
Test tubes,Tools and technology,Tools and technology,Tools and technology,,Test tubes,0,Tools and technology
Test-driven development (TDD),Knowledge,Knowledge,Knowledge,,Test-driven development (TDD),0,Knowledge
Testing software,Tools and technology,Tools and technology,Tools and technology,,Testing software,0,Tech - Software
TestNG,Tools and technology,Tools and technology,Tools and technology,,TestNG,0,Tech - Software
The Agency Manager (TAM),Tools and technology,Tools and technology,Tools and technology,,The Agency Manager (TAM),0,Tech - Software
The Open Group Architecture Framework (TOGAF),Knowledge,Knowledge,Knowledge,,The Open Group Architecture Framework (TOGAF),0,Knowledge
Theodolites,Tools and Equipment,,Tools and technology,,Theodolites,1,Tools and technology
Thermal printers,Tools and technology,Tools and technology,Tools and technology,,Thermal printers,0,Tools and technology
Thermocouples,Tools and technology,Tools and technology,Tools and technology,,Thermocouples,0,Tools and technology
Thread gauges,Tools and technology,Tools and technology,Tools and technology,,Thread gauges,0,Tools and technology
Threaders,Tools and technology,Tools and technology,Tools and technology,,Threaders,0,Tools and technology
Three-dimensional 3D computer aided design CAD software,Tools and technology,Tools and technology,Tools and technology,,3D computer aided design CAD software,0,Tech - Software
Three-dimensional 3D graphics software,Tools and technology,Tools and technology,Tools and technology,,3D graphics software,0,Tech - Software
Three-dimensional 3D solid modeling software,Tools and technology,Tools and technology,Tools and technology,,3D solid modeling software,0,Tech - Software
Three-dimensional 3D virtual surgery software,Tools and technology,Tools and technology,Tools and technology,,3D virtual surgery software,0,Tech - Software
TIBCO Spotfire,Tools and technology,Tools and technology,Tools and technology,,TIBCO Spotfire,0,Tech - Software
Ticket printers,Tools and technology,Tools and technology,Tools and technology,,Ticket printers,0,Tools and technology
Tie downs,Tools and technology,Tools and technology,Tools and technology,,Tie downs,0,Tools and technology
Tillers,Tools and technology,Tools and technology,Tools and technology,,Tillers,0,Tools and technology
Tilt skillets,Tools and technology,Tools and technology,Tools and technology,,Tilt skillets,0,Tools and technology
Tilt tables,Tools and Equipment,,Tools and technology,,Tilt tables,1,Tools and technology
Time and attendance software,Tools and technology,Tools and technology,Tools and technology,,Time and attendance software,0,Tech - Software
Time Management,Skills,Skills,Skills,,Time Management,0,Skills
Time sharing option TSO software,Technologies,,Tools and technology,,Time sharing option TSO software,1,Tech - Software
Time tracking software,Tools and technology,Tools and technology,Tools and technology,,Time tracking software,0,Tech - Software
Timekeeping software,Tools and technology,Tools and technology,Tools and technology,,Timekeeping software,0,Tech - Software
Timing equipment,Tools and technology,Tools and technology,Tools and technology,,Timing equipment,0,Tools and technology
Tire chains,Tools and technology,Tools and technology,Tools and technology,,Tire chains,0,Tools and technology
Tire changers,Tools and technology,Tools and technology,Tools and technology,,Tire changers,0,Tools and technology
Tissue processors,Tools and technology,Tools and technology,Tools and technology,,Tissue processors,0,Tools and technology
Titrators,Tools and technology,Tools and technology,Tools and technology,,Titrators,0,Tools and technology
Tivoli,Tools and technology,Tools and technology,Tools and technology,,Tivoli,0,Tools and technology
Tongs,Tools and technology,Tools and technology,Tools and technology,,Tongs,0,Tools and technology
Tool grinders,Tools and technology,Tools and technology,Tools and technology,,Tool grinders,0,Tools and technology
TopHat,Other,Work context,Tools and technology,Education software,TopHat,0,Tech - Software
TopProducer,Other,Work context,Tools and technology,Real Estate Software,TopProducer,0,Tech - Software
Torches,Tools and technology,Tools and technology,Tools and technology,,Torches,0,Tools and technology
Torque wrenches,Tools and technology,Tools and technology,Tools and technology,,Torque wrenches,0,Tools and technology
Touch screens,Tools and technology,Tools and technology,Tools and technology,or tech?,Touch screens,0,Tools and technology
Tour boats,Tools and technology,Tools and technology,Tools and technology,,Tour boats,0,Tools and technology
Tourniquets,Tools and technology,Tools and technology,Tools and technology,,Tourniquets,0,Tools and technology
Tow vehicles,Tools and technology,Tools and technology,Tools and technology,,Tow vehicles,0,Tools and technology
Tower cranes,Tools and technology,Tools and technology,Tools and technology,,Tower cranes,0,Tools and technology
Traceroute,Tools and technology,Tools and technology,Tools and technology,,Traceroute,0,Tech - Software
Track loaders,Tools and technology,Tools and technology,Tools and technology,,Track loaders,0,Tools and technology
Track switches,Tools and technology,Tools and technology,Tools and technology,,Track switches,0,Tools and technology
Traction equipment,Tools and technology,Tools and technology,Tools and technology,,Traction equipment,0,Tools and technology
Traction splints,Tools and technology,Tools and technology,Tools and technology,,Traction splints,0,Tools and technology
Traffic cones,Tools and technology,Tools and technology,Tools and technology,,Traffic cones,0,Tools and technology
Traffic counters,Tools and technology,Tools and technology,Tools and technology,,Traffic counters,0,Tools and technology
Traffic management advisor TMA software,Tools and technology,Tools and technology,Tools and technology,,Traffic management advisor TMA software,0,Tech - Software
Training software,Tools and technology,Tools and technology,Tools and technology,,Training software,0,Tech - Software
Trane TRACE,Tools and technology,Tools and technology,Tools and technology,,Trane TRACE,0,Tech - Software
Transact-SQL,Knowledge,Knowledge,Tools and technology,SQL double entry but possible should be its own thing?,Transact-SQL,0,Tech - Software
Transcribing equipment,Tools and technology,Tools and technology,Tools and technology,,Transcribing equipment,0,Tools and technology
Transcription software,Tools and technology,Tools and technology,Tools and technology,,Transcription software,0,Tech - Software
Transducers,Tools and technology,Tools and technology,Tools and technology,,Transducers,0,Tools and technology
Transfer belts,Tools and technology,Tools and technology,Tools and technology,,Transfer belts,0,Tools and technology
Transfer pumps,Tools and technology,Tools and technology,Tools and technology,,Transfer pumps,0,Tools and technology
Transit levels,Tools and technology,Tools and technology,Tools and technology,,Transit levels,0,Tools and technology
Transmission Control Protocol/Internet Protocol (TCP/IP),Knowledge,Knowledge,Knowledge,,Transmission Control Protocol/Internet Protocol (TCP/IP),0,Knowledge
Transmitters,Tools and technology,Tools and technology,Tools and technology,,Transmitters,0,Tools and technology
Transportation management system TMS software,Tools and technology,Tools and technology,Tools and technology,,Transportation management system TMS software,0,Tech - Software
Trash bags,Tools and technology,Tools and technology,Tools and technology,,Trash bags,0,Tools and technology
Treatment tables,Tools and technology,Tools and technology,Tools and technology,,Treatment tables,0,Tools and technology
Trenchers,Tools and technology,Tools and technology,Tools and technology,,Trenchers,0,Tools and technology
Trial lenses,Tools and technology,Tools and technology,Tools and technology,,Trial lenses,0,Tools and technology
Trimble SketchUp,Tools and technology,Tools and technology,Tools and technology,,Trimble SketchUp,0,Tech - Software
Trimming knives,Tools and Equipment,,Tools and technology,,Trimming knives,1,Tools and technology
Tripods,Tools and technology,Tools and technology,Tools and technology,,Tripods,0,Tools and technology
Tropics,Technologies,,Tools and technology,,Tropics,1,Tech - Software
Troubleshooting,Skills,Skills,Skills,,Troubleshooting,0,Skills
Troubleshooting software,Tools and technology,Tools and technology,Tools and technology,,Troubleshooting software,0,Tech - Software
Truck mounted cranes,Tools and technology,Tools and technology,Tools and technology,,Truck mounted cranes,0,Tools and technology
Truckmate,Tools and technology,Tools and technology,Tools and technology,,Truckmate,0,Tools and technology
Tuggers,Tools and technology,Tools and technology,Tools and technology,,Tuggers,0,Tools and technology
Turbidity meters,Tools and technology,Tools and technology,Tools and technology,,Turbidity meters,0,Tools and technology
Turnbuckles,Tools and technology,Tools and technology,Tools and technology,,Turnbuckles,0,Tools and technology
Turning centers,Tools and technology,Tools and technology,Tools and technology,,Turning centers,0,Tools and technology
Turning lathes,Tools and technology,Tools and technology,Tools and technology,,Turning lathes,0,Tools and technology
Turning machines,Tools and technology,Tools and technology,Tools and technology,,Turning machines,0,Tools and technology
Turret lathes,Tools and technology,Tools and technology,Tools and technology,,Turret lathes,0,Tools and technology
Turret punches,Tools and technology,Tools and technology,Tools and technology,,Turret punches,0,Tools and technology
Twiki,Tools and technology,Tools and technology,Tools and technology,,Twiki,0,Tech - Software
Two-dimensional 2D computer aided design CAD software,Tools and technology,Tools and technology,Tools and technology,,2D computer aided design CAD software,0,Tech - Software
Two-way radios,Tools and technology,Tools and technology,Tools and technology,,Two-way radios,0,Tools and technology
Ubuntu,Tools and technology,Tools and technology,Tools and technology,,Ubuntu,0,Tech - Software
Ultimate Software UltiPro,Tools and technology,Tools and technology,Tools and technology,,Ultimate Software UltiPro,0,Tech - Software
Ultra high frequency UHF radio communication systems,Tools and technology,Tools and technology,Tools and technology,Probably Tech,Ultra high frequency UHF radio communication systems,0,Tools and technology
Ultrasound machines,Tools and technology,Tools and technology,Tools and technology,,Ultrasound machines,0,Tools and technology
UML (Unified Modeling Language),Knowledge,Knowledge,Tools and technology,,UML (Unified Modeling Language),0,Tech - Software
Uncoupling levers,Tools and technology,Tools and technology,Tools and technology,,Uncoupling levers,0,Tools and technology
Underwriting,Other,Work activities,Other,Writing is a skill but underwriting is specific to an occupation - perhaps knowledge,Underwriting,0,Other
Unit testing software,Tools and technology,Tools and technology,Tools and technology,,Unit testing software,0,Tech - Software
UNIX,Tools and technology,Tools and technology,Tools and technology,,Unix,0,Tech - Software
Urinary catheters,Tools and technology,Tools and technology,Tools and technology,,Catheters,0,Tools and technology
User Acceptance Testing,Other,Work activities,Knowledge,,User Acceptance Testing,0,Knowledge
User Datagram Protocol (UDP),Knowledge,Knowledge,Knowledge,,User Datagram Protocol (UDP),0,Knowledge
User Interface Design,Other,Work activities,Knowledge,,User Interface Design,0,Knowledge
USP guidelines,Knowledge,Knowledge,Knowledge,,acronym,0,Knowledge
Utility locators,Tools and technology,Tools and technology,Tools and technology,,Utility locators,0,Tools and technology
Utility trucks,Tools and technology,Tools and technology,Tools and technology,,Utility trucks,0,Tools and technology
Vacuum bags,Tools and technology,Tools and technology,Tools and technology,,Vacuum bags,0,Tools and technology
Vacuum filters,Tools and technology,Tools and technology,Tools and technology,,Vacuum filters,0,Tools and technology
Vacuum pumps,Tools and technology,Tools and technology,Tools and technology,,Vacuum pumps,0,Tools and technology
Vacuum systems,Tools and technology,Tools and technology,Tools and technology,,Vacuum systems,0,Tools and technology
Value Analysis,Knowledge,Knowledge,Knowledge,,Value Analysis,0,Knowledge
Variable frequency drives VFD,Tools and technology,Tools and technology,Tools and technology,,Variable frequency drives VFD,0,Tools and technology
Varian Medical Systems,Tools and technology,Tools and technology,Tools and technology,,Varian Medical Systems,0,Tech - Software
Velvet,Knowledge,Knowledge,Tools and technology,,Velvet,0,Tech - Software
Vendor management,Other,Work activities,Knowledge,,Vendor management,0,Knowledge
Ventilation equipment,Tools and technology,Tools and technology,Tools and technology,,Ventilation equipment,0,Tools and technology
Ventilation systems,Tools and technology,Tools and technology,Tools and technology,,Ventilation systems,0,Tools and technology
Ventilators,Tools and technology,Tools and technology,Tools and technology,,Ventilators,0,Tools and technology
Ventsim,Tools and technology,Tools and technology,Tools and technology,,VentSim,0,Tech - Software
Verification software,Tools and technology,Tools and technology,Tools and technology,,Verification software,0,Tech - Software
Verilog,Knowledge,Knowledge,Knowledge,Language for hardware so still knowledge,Verilog,0,Knowledge
Veritas NetBackup,Tools and technology,Tools and technology,Tools and technology,,Veritas NetBackup,0,Tech - Software
Vernier calipers,Tools and technology,Tools and technology,Tools and technology,Not the same as a caliper,Vernier calipers,0,Tools and technology
Version control software,Tools and technology,Tools and technology,Tools and technology,,Version control software,0,Tech - Software
Vertical milling machines,Tools and technology,Tools and technology,Tools and technology,,Vertical milling machines,0,Tools and technology
Vertical mills,Tools and Equipment,,Tools and technology,,Vertical milling machines,1,Tools and technology
Very high frequency VHF radio communication systems,Tools and technology,Tools and technology,Tools and technology,,Very high frequency VHF radio communication systems,0,Tech - Software
VHDL (Very high-speed integrated circuit hardware description language),Knowledge,Knowledge,Tools and technology,,VHDL (Very high-speed integrated circuit hardware description language),0,Tech - Software
Vibrating screens,Tools and technology,Tools and technology,Tools and technology,,Vibrating screens,0,Tools and technology
Vibrating tables,Tools and technology,Tools and technology,Tools and technology,,Vibrating tables,0,Tools and technology
Video conference software,Technologies,,Tools and technology,,Video conference software,1,Tech - Software
Video consoles,Tools and technology,Tools and technology,Tools and technology,,Video consoles,0,Tools and technology
Video Editing,Other,Work activities,Knowledge,,Video Editing,0,Knowledge
Video editing software,Tools and technology,Tools and technology,Tools and technology,,Video editing software,0,Tech - Software
Video game consoles,Tools and technology,Tools and technology,Tools and technology,,Video game consoles,0,Tools and technology
Video monitoring systems,Tools and technology,Tools and technology,Tools and technology,,Video monitoring systems,0,Tools and technology
Video Production,Other,Work activities,Knowledge,,Video Production,0,Knowledge
Video projectors,Tools and technology,Tools and technology,Tools and technology,,Video projectors,0,Tools and technology
Video retrieval systems,Tools and technology,Tools and technology,Tools and technology,,Video retrieval systems,0,Tech - Software
Video screens,Tools and technology,Tools and technology,Tools and technology,,Video screens,0,Tools and technology
Video servers,Tools and Equipment,,Tools and technology,,Video servers,1,Tools and technology
Video surveillance cameras,Tools and technology,Tools and technology,Tools and technology,,Video surveillance cameras,0,Tools and technology
